-0.600, 0.430, 0.060, -11.720, 0.240, -40.890, 
-0.180, 0.510, -0.050, -25.570, 131.410, 12.940, 
-0.370, 0.540, 0.430, -13.180, 190.920, 8.180, 
-0.480, 0.470, 0.450, -7.510, 156.070, 11.410, 
-0.440, 0.600, 0.200, -17.700, 107.060, 33.750, 
-0.390, 0.530, 0.310, -44.010, 131.710, 43.150, 
-0.020, 0.610, -0.160, 5.310, 146.120, 27.830, 
-0.260, 0.530, -0.030, -12.940, 125.730, 29.240, 
-0.150, 0.620, -0.120, -30.030, 144.100, 53.340, 
-0.030, 0.700, -0.380, 15.380, 103.030, 54.630, 
-0.530, 0.590, 0.010, -24.540, 87.220, 7.450, 
-0.550, 0.610, 0.340, 20.690, 172.360, -18.370, 
-0.400, 0.540, 0.160, -13.120, 112.120, 41.020, 
-0.340, 0.600, 0.220, 2.500, 153.870, 39.120, 
-0.460, 0.520, 0.210, -2.080, 118.900, 30.940, 
-0.280, 0.590, 0.090, -14.890, 131.350, 43.270, 
-0.400, 0.400, 0.230, -30.150, 166.560, 52.430, 
-0.570, 0.540, 0.230, -2.140, 85.390, 36.440, 
-0.430, 0.580, 0.070, -50.780, 104.740, 39.550, 
-0.490, 0.640, 0.270, -14.590, 53.100, 29.300, 
-0.150, 0.830, -0.130, 9.030, 108.760, 55.660, 
-0.690, 0.360, 0.650, -35.890, 120.610, 11.660, 
-0.460, 0.450, 0.160, -15.750, 149.780, 19.530, 
-0.530, 0.380, 0.520, -25.270, 116.030, 32.710, 
-0.570, 0.650, 0.360, -2.380, 93.870, -3.360, 
-0.470, 0.640, -0.120, 6.960, 60.610, 20.630, 
-0.270, 0.760, -0.050, -31.620, 109.130, 28.870, 
-0.360, 0.300, 0.240, -51.450, 115.910, 38.760, 
-0.300, 0.560, 0.410, -33.690, 123.840, 14.040, 
-0.470, 0.460, 0.300, -17.700, 94.180, 73.670, 
-0.510, 0.460, 0.500, -9.280, 108.280, 39.120, 
-0.290, 0.510, 0.250, -33.450, 130.000, 66.040, 
-0.570, 0.420, 0.440, -5.800, 117.370, 38.510, 
-0.520, 0.530, 0.260, 2.930, 84.470, 28.440, 
-0.710, 0.520, 0.350, 11.350, 77.030, 36.560, 
-0.540, 0.430, 0.480, 4.640, 123.470, 40.650, 
-0.230, 0.600, 0.470, 22.460, 113.710, 79.770, 
-0.230, 0.360, 0.340, -26.180, 131.900, 73.670, 
0.030, 0.620, -0.060, 21.850, 131.410, 44.250, 
-0.550, 0.520, 0.480, 16.170, 128.850, 14.950, 
-0.420, 0.580, 0.160, -3.170, 84.290, 44.370, 
